clock (30 min),Day,Total TNF (pg),Total IL1b (pg),Total TGF (pg),Total O2,Collagen (ug),Aggrecan (ug),Total Cells,Stem Cells,Pre-NP Cells,NP Cells,Live Cells,Dead Cells,Elastic Modulus(kPa),Swelling Ratio,Mass Loss(%),Alginate_wv(%),Alginate_Mw(kDa),Ca_XL(M),Viability Rate(%),Differentiation (%)
0,0,0,0,0,201917,0.00000,0.00000,999,999,0,0,0.00000,0.00000,2.56420,29.48256,0.00000,2.00000,1500.00000,0.01500,100.00000,0.00000
1,0.0208333,0,0,1152.26,322130,0.00000,0.00000,997,997,0,0,997.00000,2.00000,2.56420,29.48256,0.35348,2.00000,1500.00000,0.01500,99.79980,0.00000
2,0.0416667,0,0,2241.92,444319,0.00000,0.00000,993,993,0,0,993.00000,6.00000,2.56420,29.48256,0.35618,2.00000,1500.00000,0.01500,99.39940,0.00000
3,0.0625,0,0,3496.6,564273,0.00000,0.00000,989,989,0,0,989.00000,10.00000,2.56420,29.48256,0.35888,2.00000,1500.00000,0.01500,98.99900,0.00000
4,0.0833333,0,0,4529.68,688967,0.00000,0.00000,988,988,0,0,988.00000,11.00000,2.56420,29.48256,0.36158,2.00000,1500.00000,0.01500,98.89890,0.00000
5,0.104167,0,0,5713.27,816279,0.00000,0.00000,981,981,0,0,981.00000,18.00000,2.56420,29.48256,0.36428,2.00000,1500.00000,0.01500,98.19820,0.00000
6,0.125,0,0,6924.33,940996,0.00000,0.00000,977,977,0,0,977.00000,22.00000,2.56420,29.48256,0.36698,2.00000,1500.00000,0.01500,97.79780,0.00000
7,0.145833,0,0,8008.9,1.06733e+06,0.00000,0.00000,974,974,0,0,974.00000,25.00000,2.56420,29.48256,0.36968,2.00000,1500.00000,0.01500,97.49750,0.00000
8,0.166667,0,0,9110,1.20613e+06,0.00000,0.00000,972,972,0,0,972.00000,27.00000,2.56420,29.48256,0.37238,2.00000,1500.00000,0.01500,97.29730,0.00000
9,0.1875,0,0,10369.2,1.3372e+06,0.00000,0.00000,970,970,0,0,970.00000,29.00000,2.56420,29.48256,0.37508,2.00000,1500.00000,0.01500,97.09710,0.00000
10,0.208333,0,0,11661.4,1.48888e+06,0.00000,0.00000,966,966,0,0,966.00000,33.00000,2.56420,29.48256,0.37778,2.00000,1500.00000,0.01500,96.69670,0.00000
11,0.229167,0,0,12831.5,1.6167e+06,0.00000,0.00000,966,966,0,0,966.00000,33.00000,2.56420,29.48256,0.38048,2.00000,1500.00000,0.01500,96.69670,0.00000
12,0.25,0,0,13842.9,1.74776e+06,0.00000,0.00000,963,963,0,0,963.00000,36.00000,2.56420,29.48256,0.38318,2.00000,1500.00000,0.01500,96.39640,0.00000
13,0.270833,0,0,14833.9,1.87489e+06,0.00000,0.00000,960,960,0,0,960.00000,39.00000,2.56420,29.48256,0.38588,2.00000,1500.00000,0.01500,96.09610,0.00000
14,0.291667,0,0,16037.6,2.00155e+06,0.00000,0.00000,959,959,0,0,959.00000,40.00000,2.56420,29.48256,0.38858,2.00000,1500.00000,0.01500,95.99600,0.00000
15,0.3125,0,0,17428.3,2.13316e+06,0.00000,0.00000,957,957,0,0,957.00000,42.00000,2.56420,29.48256,0.39128,2.00000,1500.00000,0.01500,95.79580,0.00000
16,0.333333,0,0,18615.3,2.27168e+06,0.00000,0.00000,953,953,0,0,953.00000,46.00000,2.56420,29.48256,0.39398,2.00000,1500.00000,0.01500,95.39540,0.00000
17,0.354167,0,0,19573.6,2.4163e+06,0.00000,0.00000,952,952,0,0,952.00000,47.00000,2.56420,29.48256,0.39668,2.00000,1500.00000,0.01500,95.29530,0.00000
18,0.375,0,0,20698.3,2.5758e+06,0.00000,0.00000,950,950,0,0,950.00000,49.00000,2.56420,29.48256,0.39937,2.00000,1500.00000,0.01500,95.09510,0.00000
19,0.395833,0,0,22048.4,2.73061e+06,0.00000,0.00000,947,947,0,0,947.00000,52.00000,2.56420,29.48256,0.40207,2.00000,1500.00000,0.01500,94.79479,0.00000
20,0.416667,0,0,22785.9,2.83673e+06,0.00000,0.00000,942,942,0,0,942.00000,57.00000,2.56420,29.48256,0.40477,2.00000,1500.00000,0.01500,94.29429,0.00000
21,0.4375,0,0,24384.2,2.99998e+06,0.00000,0.00000,939,939,0,0,939.00000,60.00000,2.56420,29.48256,0.40747,2.00000,1500.00000,0.01500,93.99399,0.00000
