clock (30 min),Day,Total TNF (pg),Total IL1b (pg),Total TGF (pg),Total O2,Collagen (ug),Aggrecan (ug),Total Cells,Stem Cells,Pre-NP Cells,NP Cells,Live Cells,Dead Cells,Elastic Modulus(kPa),Swelling Ratio,Mass Loss(%),Alginate_wv(%),Alginate_Mw(kDa),Ca_XL(M),Viability Rate(%),Differentiation (%)
0,0,0,0,0,11768.4,0.00000,0.00000,999,999,0,0,0.00000,0.00000,2.90261,29.48256,0.00000,2.00000,1500.00000,0.01500,100.00000,0.00000
1,0.0208333,0,0,0,11723,0.00000,0.00000,999,999,0,0,999.00000,0.00000,2.90261,29.48256,0.35348,2.00000,1500.00000,0.01500,100.00000,0.00000
2,0.0416667,0,0,0,11723,0.00000,0.00000,999,999,0,0,999.00000,0.00000,2.90261,29.48256,0.35618,2.00000,1500.00000,0.01500,100.00000,0.00000
3,0.0625,0,0,0,11723,0.00000,0.00000,999,999,0,0,999.00000,0.00000,2.90261,29.48256,0.35888,2.00000,1500.00000,0.01500,100.00000,0.00000
4,0.0833333,0,0,0,11723,0.00000,0.00000,999,999,0,0,999.00000,0.00000,2.90261,29.48256,0.36158,2.00000,1500.00000,0.01500,100.00000,0.00000
5,0.104167,0,0,0,11723,0.00000,0.00000,999,999,0,0,999.00000,0.00000,2.90261,29.48256,0.36428,2.00000,1500.00000,0.01500,100.00000,0.00000
6,0.125,0,0,0,11723,0.00000,0.00000,999,999,0,0,999.00000,0.00000,2.90261,29.48256,0.36698,2.00000,1500.00000,0.01500,100.00000,0.00000
7,0.145833,0,0,0,11723,0.00000,0.00000,999,999,0,0,999.00000,0.00000,2.90261,29.48256,0.36968,2.00000,1500.00000,0.01500,100.00000,0.00000
8,0.166667,0,0,0,11723,0.00000,0.00000,999,999,0,0,999.00000,0.00000,2.90261,29.48256,0.37238,2.00000,1500.00000,0.01500,100.00000,0.00000
9,0.1875,0,0,0,11723,0.00000,0.00000,999,999,0,0,999.00000,0.00000,2.90261,29.48256,0.37508,2.00000,1500.00000,0.01500,100.00000,0.00000
10,0.208333,0,0,0,11723,0.00000,0.00000,999,999,0,0,999.00000,0.00000,2.90261,29.48256,0.37778,2.00000,1500.00000,0.01500,100.00000,0.00000
11,0.229167,0,0,0,11723,0.00000,0.00000,999,999,0,0,999.00000,0.00000,2.90261,29.48256,0.38048,2.00000,1500.00000,0.01500,100.00000,0.00000
12,0.25,0,0,0,11723,0.00000,0.00000,999,999,0,0,999.00000,0.00000,2.90261,29.48256,0.38318,2.00000,1500.00000,0.01500,100.00000,0.00000
13,0.270833,0,0,0,11723,0.00000,0.00000,999,999,0,0,999.00000,0.00000,2.90261,29.48256,0.38588,2.00000,1500.00000,0.01500,100.00000,0.00000
14,0.291667,0,0,0,11723,0.00000,0.00000,999,999,0,0,999.00000,0.00000,2.90261,29.48256,0.38858,2.00000,1500.00000,0.01500,100.00000,0.00000
15,0.3125,0,0,0,11723,0.00000,0.00000,999,999,0,0,999.00000,0.00000,2.90261,29.48256,0.39128,2.00000,1500.00000,0.01500,100.00000,0.00000
16,0.333333,0,0,0,11723,0.00000,0.00000,999,999,0,0,999.00000,0.00000,2.90261,29.48256,0.39398,2.00000,1500.00000,0.01500,100.00000,0.00000
17,0.354167,0,0,0,11723,0.00000,0.00000,999,999,0,0,999.00000,0.00000,2.90261,29.48256,0.39668,2.00000,1500.00000,0.01500,100.00000,0.00000
18,0.375,0,0,0,11723,0.00000,0.00000,999,999,0,0,999.00000,0.00000,2.90261,29.48256,0.39937,2.00000,1500.00000,0.01500,100.00000,0.00000
19,0.395833,0,0,0,11723,0.00000,0.00000,999,999,0,0,999.00000,0.00000,2.90261,29.48256,0.40207,2.00000,1500.00000,0.01500,100.00000,0.00000
20,0.416667,0,0,0,11723,0.00000,0.00000,999,999,0,0,999.00000,0.00000,2.90261,29.48256,0.40477,2.00000,1500.00000,0.01500,100.00000,0.00000
21,0.4375,0,0,0,11723,0.00000,0.00000,999,999,0,0,999.00000,0.00000,2.90261,29.48256,0.40747,2.00000,1500.00000,0.01500,100.00000,0.00000
22,0.458333,0,0,0,11723,0.00000,0.00000,999,999,0,0,999.00000,0.00000,2.90261,29.48256,0.41017,2.00000,1500.00000,0.01500,100.00000,0.00000
23,0.479167,0,0,0,11723,0.00000,0.00000,999,999,0,0,999.00000,0.00000,2.90261,29.48256,0.41287,2.00000,1500.00000,0.01500,100.00000,0.00000
24,0.5,0,0,0,11723,0.00000,0.00000,999,999,0,0,999.00000,0.00000,2.90261,29.48256,0.41557,2.00000,1500.00000,0.01500,100.00000,0.00000
25,0.520833,0,0,0,11723,0.00000,0.00000,999,999,0,0,999.00000,0.00000,2.90261,29.48256,0.41827,2.00000,1500.00000,0.01500,100.00000,0.00000
26,0.541667,0,0,0,11723,0.00000,0.00000,999,999,0,0,999.00000,0.00000,2.90261,29.48256,0.42097,2.00000,1500.00000,0.01500,100.00000,0.00000
27,0.5625,0,0,0,11723,0.00000,0.00000,999,999,0,0,999.00000,0.00000,2.90261,29.48256,0.42368,2.00000,1500.00000,0.01500,100.00000,0.00000
28,0.583333,0,0,0,11723,0.00000,0.00000,999,999,0,0,999.00000,0.00000,2.90261,29.48256,0.42638,2.00000,1500.00000,0.01500,100.00000,0.00000
